Script;Comment;Input;Model;Training sq error;Training MSE; Training RMSE; Training NRMSE; Training se;Validation error; Validation MSE; Validation RMSE;Validation NRMSE;Validation R2;Testing se;Testing MSE;Testing RMSE;Testing NRMSE;Testing R2
lasso_regressions_glmnet;testing;featureset_glmnet_lasso_sfs;lasso regression GLMNET;112537074770183;34728305746.0832;186355.321217515;0.533376181224275;0.715509849302609;114617131156086;35370199400.1193;188069.666347658;0.538282887686113;0.710251532824299;288480893177401;38151278605.753;195323.522919675;0.521664639509873;0.727866003885034
"regression_tree_rpartlib";"testing";"featureset_regression_rpart_tree_fitting_sfs";"regression_tree_rpartlib";"79684682620578";"24590243055.2625";"156812.764325046";"0.448821063205864";"0.798559653222758";"101356097018114";"31277919153.8694";"176855.644959016";"0.506186718575601";"0.743775005937666";"326647398854155";"43198756708.8746";"207843.105993138";"0.555101594225856";"0.691862220087913"
regression_randomforest;testing;featureset_regression_randomforest_sfs;regression_randomforest;138830721939597;42842376775.0648;206984.001253877;0.592418480148755;0.649040344378239;138930330177774;42873115314.8509;207058.241359408;0.59263096618738;0.648788537915813;367882145895062;48652006334.0689;220571.998073348;0.589097565623083;0.652964058176957
