Script;Comment;Input;Model;Training sq error;Training MSE; Training RMSE; Training NRMSE; Training se;Validation error; Validation MSE; Validation RMSE;Validation NRMSE;Validation R2;Testing se;Testing MSE;Testing RMSE;Testing NRMSE;Testing R2
regression_randomforest;testing;featureset_logs;regression_randomforest;395826210744779;122149733295.72;349499.260794239;1.00031799384765;-0.000636088815379798;395744646831024;122124563132.549;349463.250045765;1.00021492581944;-0.000429897831981441;1059148949108691;140071275422.693;374260.972347763;0.999565809094584;0.000868193289088937
regression_randomforest;testing;featureset_logs 1_7_8_13;regression_randomforest;378920254536508;116932650682.459;341954.164592945;0.978722825153113;0.0421016315243089;378549683711549;116818294618.593;341786.914054053;0.978244129652716;0.0430384228000001;1009871932988525;133554444619.259;365451.015348512;0.976036420655276;0.0473529055544378
regression_randomforest;testing;featureset_logs 1_7_8_14;regression_randomforest;NA;NA;NA;NA;NA;365365689858090;112749788569.076;335782.352974476;0.961058197758588;0.0763671405210145;985537925766776;130336299116.151;361021.189289702;0.96420536426474;0.0703080155230996
regression_randomforest;testing;featureset_logs 1_7_8_15;regression_randomforest;NA;NA;NA;NA;NA;390754615127057;120584667528.794;347253.030985755;0.993888955655585;0.0121847438258498;1054025379790387;139393689055.133;373354.642471649;0.997145208436597;0.00570143329193562
regression_randomforest;testing;featureset_logs 1_7_8_16;regression_randomforest;219257318638562;67661570325.1234;260118.377522857;0.744496835201482;0.445724462374977;217668730763871;67171341078.1887;259174.344946001;0.741794875914756;0.449740362066612;592924627064315;78413625215.1444;280024.329684305;0.747881201481452;0.44067370847066
regression_randomforest;testing;featureset_logs 1_7_8_17;regression_randomforest;270373941757624;83435871549.9535;288852.68139651;0.826738614884168;0.316503262659407;272411895531733;84064772575.7546;289939.256700011;0.829848552299464;0.311351380246484;704103111155150;93116856596.5946;305150.547429616;0.814987605904357;0.335795202222284
regression_randomforest;testing;featureset_logs 1_7_8_18;regression_randomforest;356119993286178;109896618819.99;331506.589406591;0.948820337155753;0.0997399677996428;354887779158187;109516364498.746;330932.567902807;0.947177403669183;0.102854965978505;930598297831243;123070594171.956;350814.187529461;0.936944787483506;0.122134465207487
regression_randomforest;testing;featureset_logs 1_7_8_19;regression_randomforest;267799627474716;82641452700.1129;287474.264413552;0.82279338390444;0.323011047403081;263201164637477;81222393037.3327;284995.426344587;0.815698586855125;0.334635815402553;727859514707613;96258614654.1841;310255.724611463;0.828622371315062;0.313384965756204
regression_randomforest;testing;featureset_logs 1_7_8_20;regression_randomforest;369673424330625;114079131100.332;337756.023040792;0.966707130110454;0.0654773245936094;370203147529721;114242600688.079;337997.930005613;0.967399503219336;0.0641382011709821;993483547848924;131387098836.067;362473.583638956;0.968084378749552;0.0628126356210948
regression_randomforest;testing;featureset_logs 1_7_8_16_13;regression_randomforest;227621113678454;70242590241.7694;265033.187057337;0.758563738812386;0.424581054158974;211461243775797;65255745649.0657;255452.041779011;0.731141099915246;0.465432692014724;611687158265918;80894949185.4683;284420.374068857;0.759622034714731;0.422974364375853
regression_randomforest;testing;featureset_logs 1_7_8_16_14;regression_randomforest;223469229410709;68961342203.5824;262604.916563994;0.751613673559315;0.435076885718671;219021804568436;67588892013.0954;259978.637609122;0.744096879133337;0.446319834464028;613828390434364;81178124768.1498;284917.750882864;0.76095041489394;0.420954466072741
