Script;Comment;Input;Model;Training sq error;Training MSE; Training RMSE; Training NRMSE; Training se;Validation error; Validation MSE; Validation RMSE;Validation NRMSE;Validation R2;Testing se;Testing MSE;Testing RMSE;Testing NRMSE;Testing R2
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs";"regression_tree_rpartlib";"133075119461384";"41066230353.7675";"202648.045521706";"0.58000834076946";"0.663590324637857";"174637634789413";"53892187868.975";"232146.910099995";"0.664438404995288";"0.558521605967318";"502540102863930";"66460371998.1393";"257799.092314421";"0.688522654864668";"0.525936553738109"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs 1_2_3_4_5_6_7_8_9";"regression_tree_rpartlib";"133075119461384";"41066230353.7675";"202648.045521706";"0.58000834076946";"0.663590324637857";"174637634789413";"53892187868.975";"232146.910099995";"0.664438404995288";"0.558521605967318";"502540102863930";"66460371998.1393";"257799.092314421";"0.688522654864668";"0.525936553738109"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs 1_2_3_4_5_6_7_8_10";"regression_tree_rpartlib";"79684682620578";"24590243055.2625";"156812.764325046";"0.448821063205864";"0.798559653222758";"101376708434216";"31284279720.4802";"176873.626412985";"0.506238184126402";"0.743722900932403";"326647398854155";"43198756708.8746";"207843.105993138";"0.555101594225856";"0.691862220087913"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs 1_2_3_4_5_6_7_8_11";"regression_tree_rpartlib";"110375686606397";"34061313564.6958";"184557.074003398";"0.528229334728578";"0.720973769932204";"153504984544838";"47370771345.4213";"217648.274391095";"0.62294118937058";"0.611944274585567";"438125877254034";"57941662005.4267";"240710.743435823";"0.642883567342995";"0.586700718840345"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs 1_2_3_4_5_6_7_8_12";"regression_tree_rpartlib";"132175853055129";"40788721819.2036";"201962.179180171";"0.578045291001479";"0.665863641551016";"174047115616261";"53709956986.9653";"231754.087314475";"0.663314088738207";"0.560014419681402";"512628318281044";"67794527313.5019";"260373.82225082";"0.695399172060498";"0.516419991497574"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs 1_2_3_4_5_6_7_8_13";"regression_tree_rpartlib";"130355939022506";"40227106626.2942";"200566.962948274";"0.574051978114625";"0.670464326422686";"175433780884843";"54137874057.9672";"232675.469394535";"0.665951218990782";"0.556508973924692";"500337370000909";"66169063016.7175";"257233.479579773";"0.687012032084002";"0.52801446777181"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs 1_2_3_4_5_6_7_8_10_9";"regression_tree_rpartlib";"79684682620578";"24590243055.2625";"156812.764325046";"0.448821063205864";"0.798559653222758";"101376708434216";"31284279720.4802";"176873.626412985";"0.506238184126402";"0.743722900932403";"326647398854155";"43198756708.8746";"207843.105993138";"0.555101594225856";"0.691862220087913"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs 1_2_3_4_5_6_7_8_10_11";"regression_tree_rpartlib";"80208559692221.1";"24751908561.0928";"157327.392913926";"0.450294005484582";"0.797235308624651";"103242025680376";"31859906088.6825";"178493.434301328";"0.510874311177439";"0.739007438178977";"328347131076986";"43423544412.7469";"208383.167297042";"0.556543974955033";"0.690258803941251"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs 1_2_3_4_5_6_7_8_10_12";"regression_tree_rpartlib";"79684682620578";"24590243055.2625";"156812.764325046";"0.448821063205864";"0.798559653222758";"101376708434216";"31284279720.4802";"176873.626412985";"0.506238184126402";"0.743722900932403";"326647398854155";"43198756708.8746";"207843.105993138";"0.555101594225856";"0.691862220087913"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs 1_2_3_4_5_6_7_8_10_13";"regression_tree_rpartlib";"79684682620578";"24590243055.2625";"156812.764325046";"0.448821063205864";"0.798559653222758";"101356097018114";"31277919153.8694";"176855.644959016";"0.506186718575601";"0.743775005937666";"326647398854155";"43198756708.8746";"207843.105993138";"0.555101594225856";"0.691862220087913"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs 1_2_3_4_5_6_7_8_10_13_9";"regression_tree_rpartlib";"79684682620578";"24590243055.2625";"156812.764325046";"0.448821063205864";"0.798559653222758";"101356097018114";"31277919153.8694";"176855.644959016";"0.506186718575601";"0.743775005937666";"326647398854155";"43198756708.8746";"207843.105993138";"0.555101594225856";"0.691862220087913"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs 1_2_3_4_5_6_7_8_10_13_11";"regression_tree_rpartlib";"80208559692221.1";"24751908561.0928";"157327.392913926";"0.450294005484582";"0.797235308624651";"103221414264273";"31853545522.0716";"178475.616043401";"0.510823312717578";"0.739059543184239";"328347131076986";"43423544412.7469";"208383.167297042";"0.556543974955033";"0.690258803941251"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs 1_2_3_4_5_6_7_8_10_13_12";"regression_tree_rpartlib";"79684682620578";"24590243055.2625";"156812.764325046";"0.448821063205864";"0.798559653222758";"101356097018114";"31277919153.8694";"176855.644959016";"0.506186718575601";"0.743775005937666";"326647398854155";"43198756708.8746";"207843.105993138";"0.555101594225856";"0.691862220087913"
"regression_tree_rpartlib";"testing";"featureset_nocorrelation03_logs 1_2_3_4_5_6_7_8_10_13_9_11";"regression_tree_rpartlib";"80208559692221.1";"24751908561.0928";"157327.392913926";"0.450294005484582";"0.797235308624651";"103221414264273";"31853545522.0716";"178475.616043401";"0.510823312717578";"0.739059543184239";"328347131076986";"43423544412.7469";"208383.167297042";"0.556543974955033";"0.690258803941251"
